transaction_id,post_id,seller_id,buyer_id,round_number,rating,is_challenged,user_id,true_quality,advertised_quality,price,cost,has_warrant,round_number_post,tx_profit_naive,dishonest_ad,honest_ad,prog_round,dishonest_sale
1,1,0,4,3,1,0,0,HQ,HQ,5,2,1,2,3.0,0,1,2,0
2,2,1,3,3,-1,0,1,LQ,HQ,5,1,0,2,4.0,1,0,2,1
3,3,2,5,3,1,0,2,HQ,HQ,5,2,0,2,3.0,0,1,2,0
4,4,2,3,6,1,0,2,HQ,HQ,5,2,0,5,3.0,0,1,3,0
5,6,0,3,9,1,0,0,HQ,HQ,5,2,1,8,3.0,0,1,5,0
6,5,1,4,9,-1,0,1,LQ,HQ,5,1,0,8,4.0,1,0,5,1
7,7,2,4,12,1,0,2,HQ,HQ,5,2,0,11,3.0,0,1,6,0
8,8,1,5,12,-1,0,1,LQ,HQ,5,1,0,11,4.0,1,0,6,1
9,9,0,3,15,1,0,0,HQ,HQ,5,2,1,14,3.0,0,1,8,0
10,10,1,4,15,-1,0,1,LQ,HQ,5,1,0,14,4.0,1,0,8,1
11,11,2,5,15,1,0,2,HQ,HQ,5,2,0,14,3.0,0,1,8,0
12,12,2,5,18,1,0,2,HQ,HQ,5,2,0,17,3.0,0,1,9,0
13,13,1,4,18,-1,0,1,LQ,HQ,5,1,0,17,4.0,1,0,9,1
